date,mf_underway,total_starts,total_comps,vacancy_rt,trs10yr_rt,frm30yr_rt,ppi,hmi,cast_desc,hmi_lag24,target_yoy,total_starts_lag6,total_comps_lag3,vacancy_rt_lag6,trs10yr_rt_lag12,frm30yr_rt_lag3,ppi_lag3,.model
2023 May,984,1584,1503,6.3,3.64,6.57,337.473,50,actual,83,839,1424,1536,5.8,2.85,6.5,330.532,NA
2023 Jun,991,1421,1464,6.3,3.81,6.71,337.336,55,actual,81,843,1308,1495,5.8,2.98,6.32,331.729,NA
2023 Jul,999,1460,1352,6.6,3.97,6.81,334.512,56,actual,80,848,1361,1425,6.4,2.67,6.43,333.366,NA
2023 Aug,996,1317,1363,6.6,4.09,7.18,333.794,50,actual,75,870,1399,1503,6.4,3.15,6.57,337.473,NA
2023 Sep,989,1371,1471,6.6,4.59,7.31,332.098,44,actual,76,889,1377,1464,6.4,3.83,6.71,337.336,NA
2023 Oct,994,1368,1394,6.6,4.88,7.79,328.743,40,actual,80,909,1354,1352,6.3,4.1,6.81,334.512,NA
2023 Nov,991,1514,1460,6.6,4.37,7.22,326.844,34,actual,83,919,1584,1363,6.3,3.68,7.18,333.794,NA
2023 Dec,985,1521,1575,6.6,3.88,6.61,327.644,37,actual,84,922,1421,1471,6.3,3.88,7.31,332.098,NA
2024 Jan,972,1381,1500,6.6,3.99,6.69,334.374,44,actual,83,935,1460,1394,6.6,3.52,7.79,328.743,NA
2024 Feb,956,1552,1674,6.6,4.25,6.94,337.766,48,actual,81,945,1317,1460,6.6,3.92,7.22,326.844,NA
2024 Mar,935,1312,1487,6.6,4.2,6.79,330.963,51,actual,79,958,1371,1575,6.6,3.48,6.61,327.644,NA
2024 Apr,919,1385,1662,6.6,4.69,7.17,330.135,51,actual,77,969,1368,1500,6.6,3.44,6.69,334.374,NA
2024 May,937.0781768689883,NA,NA,NA,NA,NA,NA,NA,forecast,69,984,1514,1674,6.6,3.64,6.94,337.766,Regression
2024 Jun,876.4613575734817,NA,NA,NA,NA,NA,NA,NA,forecast,67,991,1521,1487,6.6,3.81,6.79,330.963,Regression
2024 Jul,885.0033989638935,NA,NA,NA,NA,NA,NA,NA,forecast,55,999,1381,1662,6.6,3.97,7.17,330.135,Regression
2024 May,910.2028523300069,NA,NA,NA,NA,NA,NA,NA,forecast,69,984,1514,1674,6.6,3.64,6.94,337.766,Pure ar(1)
2024 Jun,905.4816168092839,NA,NA,NA,NA,NA,NA,NA,forecast,67,991,1521,1487,6.6,3.81,6.79,330.963,Pure ar(1)
2024 Jul,903.4941799802468,NA,NA,NA,NA,NA,NA,NA,forecast,55,999,1381,1662,6.6,3.97,7.17,330.135,Pure ar(1)
2024 May,908.8971487344279,NA,NA,NA,NA,NA,NA,NA,forecast,69,984,1514,1674,6.6,3.64,6.94,337.766,ar(1) + All Factors
2024 Jun,901.7180043548003,NA,NA,NA,NA,NA,NA,NA,forecast,67,991,1521,1487,6.6,3.81,6.79,330.963,ar(1) + All Factors
2024 Jul,896.0906617097596,NA,NA,NA,NA,NA,NA,NA,forecast,55,999,1381,1662,6.6,3.97,7.17,330.135,ar(1) + All Factors
2024 May,905.4653312868313,NA,NA,NA,NA,NA,NA,NA,forecast,69,984,1514,1674,6.6,3.64,6.94,337.766,Pure ar(2)
2024 Jun,894.4062808556192,NA,NA,NA,NA,NA,NA,NA,forecast,67,991,1521,1487,6.6,3.81,6.79,330.963,Pure ar(2)
2024 Jul,885.7150381603228,NA,NA,NA,NA,NA,NA,NA,forecast,55,999,1381,1662,6.6,3.97,7.17,330.135,Pure ar(2)
2024 May,904.9651821829675,NA,NA,NA,NA,NA,NA,NA,forecast,69,984,1514,1674,6.6,3.64,6.94,337.766,ar(2) + All Factors
2024 Jun,893.3602237824678,NA,NA,NA,NA,NA,NA,NA,forecast,67,991,1521,1487,6.6,3.81,6.79,330.963,ar(2) + All Factors
2024 Jul,882.9615170416813,NA,NA,NA,NA,NA,NA,NA,forecast,55,999,1381,1662,6.6,3.97,7.17,330.135,ar(2) + All Factors
2024 May,905.7065961799299,NA,NA,NA,NA,NA,NA,NA,forecast,69,984,1514,1674,6.6,3.64,6.94,337.766,ar(2) + Select Factors
2024 Jun,893.6015521164602,NA,NA,NA,NA,NA,NA,NA,forecast,67,991,1521,1487,6.6,3.81,6.79,330.963,ar(2) + Select Factors
2024 Jul,884.1108372570887,NA,NA,NA,NA,NA,NA,NA,forecast,55,999,1381,1662,6.6,3.97,7.17,330.135,ar(2) + Select Factors
